No,Nama Kampus,Provinsi
1,Universitas Gadjah Mada,Daerah Istimewa Yogyakarta
2,Universitas Indonesia,DKI Jakarta
3,Universitas Sumatera Utara,Sumatera Utara
4,Universitas Airlangga,Jawa Timur
5,Universitas Hasanuddin,Sulawesi Selatan
6,Universitas Andalas,Sumatera Barat
7,Universitas Padjadjaran,Jawa Barat
8,Universitas Diponegoro,Jawa Tengah
9,Universitas Sriwijaya,Sumatera Selatan
10,Universitas Lambung Mangkurat,Kalimantan Selatan
11,Universitas Syiah Kuala,Aceh
12,Universitas Sam Ratulangi,Sulawesi Utara
13,Universitas Udayana,Bali
14,Universitas Nusa Cendana,Nusa Tenggara Timur
15,Universitas Mulawarman,Kalimantan Timur
16,Universitas Mataram,Nusa Tenggara Barat
17,Universitas Riau,Riau
18,Universitas Cenderawasih,Papua
19,Universitas Brawijaya,Jawa Timur
20,Universitas Jambi,Jambi
21,Universitas Pattimura,Maluku
22,Universitas Tanjungpura,Kalimantan Barat
23,Universitas Jenderal Soedirman,Jawa Tengah
24,Universitas Palangka Raya,Kalimantan Tengah
25,Universitas Jember,Jawa Timur
26,Universitas Lampung,Lampung
27,Universitas Sebelas Maret,Jawa Tengah
28,Universitas Tadulako,Sulawesi Tengah
29,Universitas Halu Oleo,Sulawesi Tenggara
30,Universitas Bengkulu,Bengkulu
31,Universitas Terbuka,Banten
32,Universitas Negeri Padang,Sumatera Barat
33,Universitas Negeri Malang,Jawa Timur
34,Universitas Pendidikan Indonesia,Jawa Barat
35,Universitas Negeri Manado,Sulawesi Utara
36,Universitas Negeri Makassar,Sulawesi Selatan
37,Universitas Negeri Jakarta,DKI Jakarta
38,Universitas Negeri Yogyakarta,Daerah Istimewa Yogyakarta
39,Universitas Negeri Surabaya,Jawa Timur
40,Universitas Negeri Medan,Sumatera Utara
41,Universitas Negeri Semarang,Jawa Tengah
42,Universitas Sultan Ageng Tirtayasa,Banten
43,Universitas Trunojoyo Madura,Jawa Timur
44,Universitas Khairun,Maluku Utara
45,Universitas Papua,Papua Barat
46,Universitas Malikussaleh,Aceh
47,Universitas Negeri Gorontalo,Gorontalo
48,Universitas Pendidikan Ganesha,Bali
49,Universitas Bangka Belitung,Bangka Belitung
50,Universitas Borneo Tarakan,Kalimantan Utara
51,Universitas Musamus Merauke,Papua Selatan
52,Universitas Maritim Raja Ali Haji,Kepulauan Riau
53,Universitas Samudra,Aceh
54,Universitas Sulawesi Barat,Sulawesi Barat
55,Universitas Sembilanbelas November,Sulawesi Tenggara
56,Universitas Tidar,Jawa Tengah
57,Universitas Siliwangi,Jawa Barat
58,Universitas Teuku Umar,Aceh
59,"Universitas Pembangunan Nasional ""Veteran"" Jawa Timur",Jawa Timur
60,Universitas Timor,Nusa Tenggara Timur
61,"Universitas Pembangunan Nasional ""Veteran"" Jakarta",DKI Jakarta
62,"Universitas Pembangunan Nasional ""Veteran"" Yogyakarta",Daerah Istimewa Yogyakarta
63,Universitas Singaperbangsa Karawang,Jawa Barat
64,Institut Teknologi Bandung,Jawa Barat
65,Institut Teknologi Sepuluh Nopember,Jawa Timur
66,Institut Pertanian Bogor,Jawa Barat
67,Institut Seni Indonesia Yogyakarta,Daerah Istimewa Yogyakarta
68,Institut Seni Indonesia Denpasar,Bali
69,Institut Seni Indonesia Surakarta,Jawa Tengah
70,Institut Seni Indonesia Padang Panjang,Sumatera Barat
71,Institut Seni Budaya Indonesia Bandung,Jawa Barat
72,Institut Seni Budaya Indonesia Aceh,Aceh
73,Institut Seni Budaya Indonesia Tanah Papua,Papua
74,Institut Teknologi Kalimantan,Kalimantan Timur
75,Institut Teknologi Sumatera,Lampung
76,Institut Teknologi Bacharuddin Jusuf Habibie,Sulawesi Selatan
77,Politeknik Manufaktur Bandung,Jawa Barat
78,Politeknik Negeri Jakarta,DKI Jakarta
79,Politeknik Negeri Medan,Sumatera Utara
80,Politeknik Negeri Bandung,Jawa Barat
81,Politeknik Negeri Semarang,Jawa Tengah
82,Politeknik Negeri Sriwijaya,Sumatera Selatan
83,Politeknik Negeri Lampung,Lampung
84,Politeknik Negeri Ambon,Maluku
85,Politeknik Negeri Padang,Sumatera Barat
86,Politeknik Negeri Bali,Bali
87,Politeknik Negeri Pontianak,Kalimantan Barat
88,Politeknik Negeri Ujung Pandang,Sulawesi Selatan
89,Politeknik Negeri Manado,Sulawesi Utara
90,Politeknik Perkapalan Negeri Surabaya,Jawa Timur
91,Politeknik Negeri Banjarmasin,Kalimantan Selatan
92,Politeknik Negeri Lhokseumawe,Aceh
93,Politeknik Negeri Kupang,Nusa Tenggara Timur
94,Politeknik Elektronika Negeri Surabaya,Jawa Timur
95,Politeknik Negeri Jember,Jawa Timur
96,Politeknik Pertanian Negeri Pangkajene Kepulauan,Sulawesi Selatan
97,Politeknik Pertanian Negeri Kupang,Nusa Tenggara Timur
98,Politeknik Perikanan Negeri Tual,Maluku
99,Politeknik Negeri Malang,Jawa Timur
100,Politeknik Pertanian Negeri Samarinda,Kalimantan Timur
101,Politeknik Pertanian Negeri Payakumbuh,Sumatera Barat
102,Politeknik Negeri Samarinda,Kalimantan Timur
103,Politeknik Negeri Media Kreatif,DKI Jakarta
104,Politeknik Manufaktur Negeri Bangka Belitung,Kepulauan Bangka Belitung
105,Politeknik Negeri Batam,Kepulauan Riau
106,Politeknik Negeri Nusa Utara,Sulawesi Utara
107,Politeknik Negeri Bengkalis,Riau
108,Politeknik Negeri Balikpapan,Kalimantan Timur
109,Politeknik Negeri Madura,Jawa Timur
110,Politeknik Maritim Negeri Indonesia,Jawa Tengah
111,Politeknik Negeri Banyuwangi,Jawa Timur
112,Politeknik Negeri Madiun,Jawa Timur
113,Politeknik Negeri Fakfak,Papua Barat
114,Politeknik Negeri Sambas,Kalimantan Barat
115,Politeknik Negeri Tanah Laut,Kalimantan Selatan
116,Politeknik Negeri Subang,Jawa Barat
117,Politeknik Negeri Ketapang,Kalimantan Barat
118,Politeknik Negeri Cilacap,Jawa Tengah
119,Politeknik Negeri Indramayu,Jawa Barat
120,Politeknik Negeri Nunukan,Kalimantan Utara
121,Akademi Komunitas Negeri Pacitan,Jawa Timur
122,Akademi Komunitas Negeri Putra Sang Fajar Blitar,Jawa Timur
123,Akademi Komunitas Negeri Aceh Barat,Aceh
124,Akademi Komunitas Negeri Rejang Lebong,Bengkulu
125,Akademi Komunitas Negeri Seni dan Budaya Yogyakarta,Daerah Istimewa Yogyakarta
