Nama Kampus,Sinta score
Universitas Gadjah Mada,1.549.804
Universitas Airlangga,1.388.639
Institut Pertanian Bogor,1.288.064
Universitas Indonesia,1.137.952
Institut Teknologi Sepuluh Nopember,869.998
Universitas Brawijaya,722.322
Universitas Andalas,683.463
Institut Teknologi Bandung,671.510
Universitas Diponegoro,648.798
Universitas Hasanuddin,647.259
Universitas Padjadjaran,644.114
Universitas Negeri Malang,588.615
Universitas Sebelas Maret,585.361
Universitas Surabaya,489.470
Universitas Telkom,481.086
Universitas Pendidikan Indonesia,466.810
Universitas Tarumanagara,458.424
Universitas Muhammadiyah Surakarta,448.184
Universitas Negeri Semarang,436.909
Universitas Negeri Padang,436.232
Universitas Udayana,427.979
Universitas Bina Nusantara,414.810
Universitas Sumatera Utara,394.864
Universitas Pamulang,383.689
Universitas Negeri Jakarta,383.154
Universitas Negeri Surabaya,372.325
Universitas Jember,369.437
Universitas Negeri Makassar,360.618
Universitas Lambung Mangkurat,360.323
Universitas Islam Negeri Sunan Kalijaga,333.689
Universitas Muhammadiyah Sumatera Utara,332.278
Universitas Negeri Yogyakarta,323.056
Universitas Riau,314.927
Universitas Islam Malang,306.760
Universitas Lampung,306.117
Universitas Islam Indonesia,304.006
Universitas Syiah Kuala,301.324
Universitas Mataram,289.084
Universitas Muhammadiyah Surabaya,282.562
Universitas Muhammadiyah Yogyakarta,281.378
Universitas Jambi,276.158
Universitas Sriwijaya,275.409
Universitas Pakuan,275.085
Universitas Kristen Satya Wacana,269.524
Universitas Ahmad Dahlan,267.612
Universitas Bina Sarana Informatika,265.419
Universitas Tanjungpura,260.742
Universitas Muhammadiyah Malang,259.544
Badan Riset dan Inovasi Nasional,253.221
Universitas Mercu Buana,251.169
Universitas Pendidikan Ganesha,248.114
Universitas Negeri Medan,229.059
Universitas Trisakti,227.425
Universitas 17 Agustus 1945 Surabaya,222.794
Universitas Pancasila,215.640
Universitas Muhammadiyah Sidoarjo,213.984
Universitas Ibn Khaldun Bogor,206.641
Universitas Mulawarman,205.214
Universitas Islam Negeri Syarif Hidayatullah Jakarta,202.340
Universitas Sam Ratulangi,200.853
Universitas Negeri Gorontalo,200.675
Universitas Islam Negeri Sunan Gunung Djati,197.778
Universitas Bengkulu,190.533
Universitas Islam Bandung,185.497
Universitas Halu Oleo,180.795
Universitas Negeri Manado,173.187
Universitas Islam Negeri Sumatera Utara,173.059
Universitas Cenderawasih,170.585
Universitas Singaperbangsa Karawang,166.847
Universitas Djuanda,165.260
Universitas Djuanda,165.057
